date_range,title,url
06/03/2024 - 30/04/2024,"Tiết kiệm 20.000đ thanh toán Điện, Nước qua VNPT Money",https://vnptpay.vn/web/khuyenmai/diennuoc0324
01/03/2024 - 31/03/2024,KHUYẾN CÁO PHÒNG TRÁNH LỪA ĐẢO TRONG GIAO DỊCH ĐIỆN TỬ,https://vnptpay.vn/web/khuyenmai/khuyencaogd
08/03/2024 - 31/05/2024,ƯU ĐÃI 20.000Đ THANH TOÁN HỌC PHÍ QUA VNPT MONEY,https://vnptpay.vn/web/khuyenmai/uudaihocphi20K
04/03/2024 - 08/03/2024,Bamboo - Ưu đãi mừng ngày Quốc tế phụ nữ 8/3,https://vnptpay.vn/web/khuyenmai/bamboo0803
01/03/2024 - 31/05/2024,Ưu đãi cực khủng - Quét bay Hóa đơn,https://vnptpay.vn/web/khuyenmai/hoadonvnpt05
01/02/2024 - 29/02/2024,Tạo QR Lì xì bằng công nghệ AI –  Tạo “Một tôi mới ting” cùng VNPT Money,https://vnptpay.vn/web/khuyenmai/lixiaituenhantao
01/03/2024,Siêu Tích Luỹ - Điều chỉnh lợi nhuận tháng 03/2024,https://vnptpay.vn/web/khuyenmai/sieutichluydc0324
01/03/2024 - 31/03/2024,"QUÀ TẶNG BẠN MỚI – LỢI NHUẬN TỚI 6,8",https://vnptpay.vn/web/khuyenmai/sieutichluy0324
01/03/2024 - 31/03/2024,LỢI ÍCH KÉP: NẠP DẾ VỪA CHIẾT KHẤU VỪA SINH LỜI,https://vnptpay.vn/web/khuyenmai/tichluynapdienthoai
01/02/2024 - 29/02/2024,QUÀ TẶNG BẠN MỚI – LỢI NHUẬN TỚI 8%,https://vnptpay.vn/web/khuyenmai/sieutichluy0224
24/01/2024 - 29/02/2024,"Đón Tết Giáp Thìn, hóa thân Rồng Du Ký, săn tiền tỷ cùng VNPT Money",https://vnptpay.vn/web/khuyenmai/rongdukysantienty
25/01/2024 - 24/02/2024,VIETJET MANG HƯƠNG SẮC TẾT VỀ NHÀ,https://vnptpay.vn/web/khuyenmai/vietjetmaidao
