question,context
"Bạn là ai, bạn tên là gì, do công ty nào tạo ra hoặc phát triển?","Tôi là VNPT Money Chatbot được phát triển bởi Công ty phát triển phần mềm VNPT Media Software, trực thuộc tổng công ty Truyền thông VNPT Media - một thành viên của tập đoàn VNPT."
VNPT là gì?,"Tập đoàn Bưu chính Viễn thông Việt Nam (tên giao dịch quốc tế: Vietnam Posts and Telecommunications Group, viết tắt: VNPT) là một doanh nghiệp của nhà nước chuyên về đầu tư, sản xuất, kinh doanh trong lĩnh vực Viễn thông và Công nghệ thông tin tại Việt Nam."
Ngành nghề kinh doanh của VNPT là gì?,"Kinh doanh các sản phẩm, dịch vụ viễn thông, công nghệ thông tin, truyền thông đa phương tiện. Tư vấn, khảo sát, thiết kế, lắp đặt, khai thác, bảo dưỡng, sửa chữa, cho thuê công trình, thiết bị viễn thông, công nghệ thông tin. Nghiên cứu, phát triển, chế tạo, sản xuất, kinh doanh, xuất khẩu, nhập khẩu thiết bị, sản phẩm viễn thông, công nghệ thông tin, truyền thông đa phương tiện."
VNPT Media là gì?,"Tổng công ty Truyền thông (Tên viết tắt: VNPT Media) được thành lập theo Quyết định số 89/QĐ-VNPT-HĐTV -TCCB ngày 08 tháng 05 năm 2015 của Chủ tịch Tập đoàn Bưu chính Viễn thông Việt Nam, trên cơ sở tổ chức lại Công ty VASC, Trung tâm Thông tin và Quan hệ công chúng và các bộ phận nghiên cứu, phát triển nội dung số, dịch vụ giá trị gia tăng của Công ty VDC, Công ty Vinaphone."
Ngành nghề kinh doanh của VNPT Media là gì?,"Ngành nghề kinh doanh chính của VNPT Media gồm tổ chức nghiên cứu, phát triển, sản xuất các sản phẩm dịch vụ phần mềm, dịch vụ nội dung, giá trị gia tăng, truyền thông, truyền hình; quản lý và thực hiện hoạt động truyền hình, cung cấp chương trình thuê bao…"
Các công ty thành viên của VNPT Media là gì?,VNPT Media gồm các công ty thành viên: 1. Công ty Phát triển Dịch vụ Truyền hình (MyTV); 2. Công ty Phát triển Dịch vụ Giá trị gia tăng (VAS); 3. Công ty Phát triển Phần mềm VNPT Media (VNPT- Media Software); 4. Trung tâm Dịch vụ Tài chính số ( VNPT Fintech).
Công ty VNPT Media Software là gì?,"Công ty Phát triển Phần mềm VNPT Media (gọi tắt là Công ty VNPT Media Software) là đơn vị kinh tế trực thuộc Tổng công ty Truyền thông (VNPT-Media), được thành lập ngày 05/05/2016 theo Quyết định số 185/QĐ-VNPT-Media-NS ngày 05/05/2016 của Chủ tịch Tổng công ty Truyền thông trên cơ sở một bộ phận tách ra từ Công ty Phát triển dịch vụ Giá trị Gia tăng (Công ty VAS)."
Chức năng của công ty phát triển phần mềm VNPT Media Software là gì?,"Công ty VNPT Media Software có chức năng nghiên cứu và phát triển tất cả các platform dịch vụ mà VNPT-Media đang cung cấp hiện nay, giúp VNPT tiến tới tự chủ hoàn toàn trong lĩnh vực phần mềm. Xa hơn nữa trong tương lai, Công ty VNPT-Media Software sẽ tiếp tục phát triển các nền tảng lõi cho các dịch vụ sắp tới mà VNPT sẽ cung cấp và hướng tới có thể trở thành một sản phẩm thương mại, tiến ra thị trường nước ngoài."
VNPT VAS là gì?,"Công ty Phát triển Dịch vụ Giá trị gia tăng (Công ty VNPT VAS) được thành lập ngày 29/6/2015 theo quyết định số 86/QĐ-VNPT-MEDIA-NS ngày 29/06/2015 của Chủ tịch Tổng công ty Truyền thông. Nhiệm vụ của công ty phát triển dịch vụ giá trị gia tăng VNPT VAS là Tổ chức điều hành toàn bộ hoạt động trực tiếp sản xuất, cung cấp các sản phẩm dịch vụ giá trị gia tăng, dịch vụ nội dung của Tổng công ty Truyền thông (VNPT-Media) cho thị trường/khách hàng theo mục tiêu, kế hoạch kinh doanh, chiến lược phát triển của Tổng công ty Truyền thông, Tập đoàn Bưu chính Viễn thông Việt Nam (Tập đoàn VNPT) và phù hợp với pháp luật."
Công ty MyTV là gì?,"Công ty Phát triển Dịch vụ Truyền hình (Tên viết tắt: Công ty Truyền hình MyTV), tiền thân là Trung tâm IPTV – thuộc Công ty Phần mềm và Truyền thông VASC – Tập đoàn Bưu chính Viễn thông Việt Nam (Tập đoàn VNPT), được thành lập theo QĐ số 257/2000/QĐ – TCCB của Tổng cục Bưu điện. Theo quá trình tái cấu trúc Tập đoàn VNPT, Công ty Truyền hình MyTV hiện trực thuộc Tổng công ty Truyền thông – VNPT-Media, được thành lập theo Quyết định số: 88/QĐ-VNPT-MEDIA-NS ngày 29/06/2015."
